"","name","address","Phone","website","type1","type2","description","lat","lon"
"1","Lake Powhatan Swimming Beach","Wesley Branch Rd, Asheville, NC 28806","877-444-6777","https://visithendersonvillenc.org/businesses/lake-powhatan-rec-camping-area","lake","swimhole",NA,"35.481629",-82.626066
"2","Lake Powhatan Swimming Beach","Wesley Branch Rd, Asheville, NC 28806","828-257-4200","https://www.fs.usda.gov/r08/northcarolina/recreation","lake","swimhole",NA,"35.481629",-82.626066
"3","Badin Lake Arrowhead Campground","789 NC Hwy 24/27 E. Troy, NC",NA,"https://www.recreation.gov/camping/campgrounds/233910?tab=info","lake","swimhole",NA,"35.448219",-80.078812
"4","Jordan Lake State Recreation Area  Seaforth Access","Seaforth Beach Rd, Pittsboro, NC 27312","(919) 362-1100","https://www.ncparks.gov/park-features/jordan-lake-state-recreation-area-seaforth-access","lake","swimhole","Swimming, hiking, paddling, camping, Jones Lake State Park","35.725808",-79.033673
"5","Cove Boat Ramp","400 Cove Rd. Eldorado, NC",NA,"https://nctriadoutdoors.com/places/badin-lake-cove-boat-ramp/","lake","swimhole",NA,"35.438915",-80.074618
"6","Lake Gaston Day Use Area","2369 Jack Brown Road , Littleton, NC 27850",NA,"https://www.visitnc.com/listing/tkDX/lake-gaston","lake","swimhole","Swimming, fishing, picnic, grills","36.494449",-77.811058
"7","Kings Mountain Point","789 Badin Lake Rd. New London, NC",NA,"https://www.montgomerycountync.gov/visit/lakes/swimming","lake","swimhole",NA,"35.452784",-80.081931
"8","Cheoah Point Beach","1375 Thunderbird Mountain Rd Robbinsville, NC 28771","(828) 479-6431","https://www.visitnc.com/listing/UUhR/cheoah-beach-campgrounds","lake","swimhole",NA,"35.371719",-83.868651
"9","Falls Lake State Recreation Area  Holly Point Campground","14424 New Light Road Wake Forest,NC27587","(984) 867-8000","https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area","State Recreation Area","swimhole","Swimming, camping, hiking (25 miles), biking (14 miles), paddling, fishing, picnicking, kayak, canoe, and paddleboard rentals","35.369791",-83.871359
"10","Bear Lake Reserve","412 Lake Forest Drive Tuckasegee, NC 28783","(828) 293-3455","https://bearlakereserve.com/lodging/marina/","lake","swimhole",NA,"35.242225",-83.0934324
"11","The Pines Recreation Area Glenville Da","1965 Pine Creek Rd, Cullowhee, NC 28723",NA,"https://www.visitnc.com/listing/NeFt/pines-recreation-area","lake","swimhole",NA,"35.198075",-83.159642
"12","Wolf Lake","100 Branding Iron Dr, Glenville, NC 28736",NA,"https://www.discoverjacksonnc.com/listing/wolf-lake/584/","lake","swimhole",NA,"35.156852",-83.06816
"13","Lake James State Park","2229 Lake James State Park Rd, Nebo, NC 28761","(828) 544-6800","https://www.ncparks.gov/state-parks/lake-james-state-park","lake","swimhole",NA,"35.762152",-81.878266
"14","Lake Cheoah Cheoah Point Recreation Area","1373 Thunderbird Mountain Rd, Robbinsville, NC 28771",NA,"https://www.romanticasheville.com/lake-santeetlah","lake","swimhole","Developed camping, picnicking, swimming, fishing, and boating","35.370535",-83.868034
"15","Falls Lake","14600 Creedmoor Road Wake Forest, NC 27587","(984) 867-8000","https://www.ncparks.gov/park-features/falls-lake-state-recreation-area-beaverdam-access-0","lake","swimhole","Accessible fishing and swim beach; non-gas boating on Beaverdam Lake; easy hiking trails, paddling","36.04296",-78.698128
"16","Boiling Springs Lake","210 Pine Rd, Boiling Spring Lakes, NC 28461","(910) 363-0018","https://www.cityofbsl.org/parks-recreation/parks","lake","swimhole",NA,"34.047301",-78.05296546
"17","Cane Creek Reservoir","5213 Harkey Rd, Waxhaw, NC 28173","(704) 283-3885","https://www.unioncountync.gov/government/departments-f-p/parks-recreation/cane-creek-park","lake","swimhole",NA,"34.844418",-80.68509026
"18","Graham-Mebane Lake","3218 Bason Rd, Mebane, NC 27302","(919) 563-6544","https://www.cityofgraham.com/lake/","lake","swimhole",NA,"36.110885",-79.32911477
"19","Hope Mills Lake","3607 N Main St Hope Mills, NC 28348","(910) 426-4109","http://townofhopemills.com/407/Hope-Mills-Lake","lake","swimhole",NA,"34.977528",-78.95402162
"20","Lake Hunt","551 Ironworks Road Reidsville, NC 27320",NA,"https://www.riseupreidsville.com/lakes","lake","swimhole",NA,"36.32615",-79.72219328
"21","Reidsville Lake","630 Water Works Road Reidsville, NC 27320","(336) 349-4738","https://www.riseupreidsville.com/lakes","lake","swimhole",NA,"36.297585",-79.68527565
"22","White Lake- GoldstonS Beach","1608 White Lake Dr, Elizabethtown, NC 28337","(910) 862-4064","https://elizabethtownwhitelake.com/things-to-do-and-see/","lake","swimhole",NA,"34.636113",-78.48405153
"23","Singletary Lake","6707 NC-53 E, Kelly, NC 28448","(910) 669-2928","https://www.ncparks.gov/state-parks/singletary-lake-state-park","lake","swimhole",NA,"34.58027",-78.44940063
"24","Lake Hickory Wittenburg Access Area","175 Wildlife Access Rd, Hickory, NC 28601",NA,"https://alexandercountync.gov/wittenburg-access-swim-beach-to-open-may-26/","lake","swimhole",NA,"35.807115",-81.31311756
"25","Lake Norman","18441 Nantz Rd, Cornelius, NC 28031","(980) 314-1001","https://parkandrec.mecknc.gov/Places-to-Visit/Pools-Beaches-Spraygrounds/ramsey-creek-beach","lake","swimhole",NA,"35.463903",-80.89719168
"26","Lake Wylie Ebenezer Park Beach","3480 Lake Wylie Dr, Rock Hill, SC 29732",NA,"https://www.yorkcountygov.com/643/Swimming","lake","swimhole",NA,"35.022213",-81.04240428
"27","Chatuge Lake","96 Sanderson Street Hayesville, NC 28904","(828) 389-3704","https://www.claychambernc.com/fun-lake/","lake","swimhole",NA,"35.046126",-83.81688413
